mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
74,0.2226518396142725,-0.11102599243473434,-0.13476536905224484,-0.11102593399658187,-0.13476530975536324,117.56025695800781,117.56025695800781,0.7715999999999996,1.2371098564283267,0.8513565528037996,0.09950951506168956
75,0.22073986294033293,-0.10867518847146601,-0.1382327727135429,-0.10867511541669331,-0.13823269364556703,116.92704772949219,116.92704772949219,0.7726000000000003,1.6002532545779202,0.837553841771417,0.1029486257057048
76,0.22042458336632534,-0.11754780069567348,-0.1418999192168322,-0.11754777268973547,-0.14189991676685887,115.42245483398438,115.42245483398438,0.7864000000000003,1.6382390042213169,0.8479744926275751,0.09837049026109243
77,0.221696527154596,-0.12444632634330569,-0.14525524097601167,-0.1244463872703552,-0.1452553047096024,115.2300033569336,115.22999572753906,0.7726000000000003,1.6653971560299397,0.8468045822237235,0.10174617790055818
78,0.21954487751912072,-0.12167988819273136,-0.14767640664202553,-0.1216798241342889,-0.14767635785069963,114.95172882080078,114.95172882080078,0.7763999999999996,1.7668679777432132,0.8495029632454412,0.10300320899118616
79,0.2193633987380936,-0.124590348061199,-0.15193185342582563,-0.12459043695875179,-0.15193191303586795,115.51512145996094,115.51512145996094,0.7772000000000003,2.5290907438139656,0.8429225526680358,0.1030110974006773
80,0.21864025585644242,-0.12766861496462403,-0.15539087450125452,-0.12766881037382963,-0.1553910417549977,114.89637756347656,114.89637756347656,0.7781999999999992,2.0759753637217186,0.8503331633555798,0.10228814888475476
81,0.21818922804640578,-0.12993208152152194,-0.15793802106156307,-0.12993217809172564,-0.15793811551163628,114.7414779663086,114.7414779663086,0.7687999999999996,1.9641189742329959,0.8376438061156619,0.10209762456647613
82,0.2194700384283209,-0.13643468984767168,-0.1617702068419638,-0.13643473880654697,-0.1617702386322315,114.51848602294922,114.51847839355469,0.7894000000000003,2.208652575575822,0.8377567524841462,0.10128603449151562
83,0.21684478209899355,-0.13536588452193316,-0.163739505216629,-0.13536588781857203,-0.16373949576800162,114.38253784179688,114.38253784179688,0.7715999999999996,2.297911281722623,0.8420384011002012,0.10080942911544785
84,0.21971691692913617,-0.1517002759312045,-0.1676222262081061,-0.1517002735418255,-0.1676222053165416,109.52239227294922,109.52238464355469,0.7742000000000003,2.432965360380508,0.8403574035222972,0.1004841933606123
85,0.21672109655431798,-0.146098641595265,-0.17321537823406596,-0.14609856510750685,-0.17321530577227282,112.30470275878906,112.30470275878906,0.7652,2.2492348511476776,0.8382487132861531,0.10236898468322582
86,0.2176840269529784,-0.1606687673834772,-0.18098207566774432,-0.16066881033022723,-0.18098211618300092,110.87187194824219,110.87185668945312,0.7848000000000004,2.5099905104049154,0.8389853322532843,0.10052785750252538
87,0.21775628854562573,-0.16750379715250938,-0.18730354361484108,-0.16750392978829903,-0.18730367315304872,109.70272064208984,109.70272064208984,0.7606,2.483561108744628,0.837057413417435,0.0969567442070645
